calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Avenida Isabel la Católica;Isabel la Católica;Isabel la;Católica;2;female;historica;living_street;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Pasaje Virgen de los Gitanos;Pasaje Virgen de los Gitanos;Pasaje Virgen de los;Gitanos;2;female;religiosa;pedestrian;
Calle Fernanda Calado Rosales;Fernanda Calado Rosales;Fernanda Calado;Rosales;2;female;historica;residential;
Calle Doctora Navarro Rodríguez;Doctora Navarro Rodríguez;Doctora Navarro;Rodríguez;2;female;cientifica;residential;
Calle María Santísima de las Tristezas;María Santísima de las Tristezas;María Santísima de las;Tristezas;2;female;religiosa;living_street;
Calle Ceres;Ceres;Ceres;;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Ceres_(mitología)
Calle Nuestra Señora de los Dolores;Nuestra Señora de los Dolores;Nuestra Señora de los;Dolores;2;female;religiosa;residential;
Calle Carmen Laffón;Carmen Laffón;Carmen;Laffón;2;female;artista;residential;
Calle Carmen Huerta;Carmen Huerta;Carmen;Huerta;2;female;historica;residential;
Calle Nuestra Señora de los Desamparados;Nuestra Señora de los Desamparados;Nuestra Señora de los;Desamparados;2;female;religiosa;residential;
Calle María Fulmen;María Fulmen;María;Fulmen;2;female;historica;residential;
Calle Beata Ana María Javouhey;Beata Ana María Javouhey;Beata Ana María;Javouhey;2;female;santa;residential;https://es.wikipedia.org/wiki/Ana_María_Javouhey
Plazoleta Nuestra Señora de los Ángeles;Plazoleta Nuestra Señora de los Ángeles;Plazoleta Nuestra Señora de los;Ángeles;2;female;religiosa;pedestrian;
Calle Madre de la Iglesia;Madre de la Iglesia;Madre de la;Iglesia;2;female;religiosa;residential;
Plaza Virgen de la Amargura;Virgen de la Amargura;Virgen de la;Amargura;2;female;religiosa;living_street;
Calle Fedra;Fedra;Fedra;;2;female;historica;residential;https://es.wikipedia.org/wiki/Fedra
Calle Virgen de la Encarnación;Virgen de la Encarnación;Virgen de la;Encarnación;2;female;religiosa;pedestrian;
Calle Carmen Conde;Carmen Conde;Carmen;Conde;2;female;escritora;pedestrian;https://es.wikipedia.org/wiki/Carmen_Conde
Calle Gloria Fuertes;Gloria Fuertes;Gloria;Fuertes;2;female;escritora;pedestrian;https://es.wikipedia.org/wiki/Gloria_Fuertes
Calle Concepción Estevarena;Concepción Estevarena;Concepción;Estevarena;2;female;historica;residential;
Calle Mary Ward;Mary Ward;Mary;Ward;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Mary_Ward_(religiosa)
Calle Dulce Chacón;Dulce Chacón;Dulce;Chacón;2;female;escritora;residential;https://es.wikipedia.org/wiki/Dulce_Chacón
Calle Marie Curie;Marie Curie;Marie;Curie;2;female;cientifica;residential;https://es.wikipedia.org/wiki/Marie_Curie
Glorieta Beatriz Manchón;Glorieta Beatriz Manchón;Glorieta Beatriz;Manchón;2;female;cientifica;secondary;https://es.wikipedia.org/wiki/Beatriz_Manchón
Calle Dolores León;Dolores León;Dolores;León;2;female;historica;residential;https://es.wikipedia.org/wiki/Juana_María_de_los_Dolores_de_León_Smith
Calle Regla León;Regla León;Regla;León;2;female;historica;residential;https://es.wikipedia.org/wiki/Regla_general_de_Leibniz
