calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Nicolás Orta;Nicolás Orta;Nicolás;Orta;-2;Male;-;-
Calle Manuela Sánchez "Niña de Huelva";Manuela Sánchez "Niña Huelva";Manuela;Sánchez;2;Female;-;-;https://es.wikipedia.org/wiki/Manuela_S%C3%A1nchez_Rodr%C3%ADguezhttps://es.wikipedia.org/wiki/Mar%C3%ADa_de_Francia_(poetisa)
Plaza de Santa Raquel;Santa Raquel;Santa;Raquel;2;Female;-;-;https://es.wikipedia.org/wiki/Raquel
Calle Inca de Garcilaso;Inca Garcilaso;Inca;Garcilaso;2;Male;-;-
Calle Ernesto Lazo;Ernesto Lazo;Ernesto;Lazo;-2;Male;-;-
Calle Inca Garcilaso;Inca Garcilaso;Inca;Garcilaso;2;Male;-;-
Calle Gómez de Avellaneda;Gómez de Avellaneda;Gómez;Avellaneda;2;Female;-;-
Plaza de Rogelio Buendía;Rogelio Buendía;Rogelio;Buendía;-2;Male;-;-
Calle Díaz del Castillo;Díaz Castillo;Díaz;Castillo;2;Male;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle Gabriela Mistral;Gabriela Mistral;Gabriela;Mistral;2;Female;-;-;https://es.wikipedia.org/wiki/Gabriela_Mistral
Calle Concepción Rodríguez Garzón;Concepción Rodríguez Garzón;Concepción;Rodríguez;2;Female;-;-
Calle Rafael Guillén;Rafael Guillén;Rafael;Guillén;-2;Male;-;-
Calle Gonzalo de Berceo;Gonzalo Berceo;Gonzalo;Berceo;-2;Male;-;-
Calle Agustín Domínguez Belda;Agustín Domínguez Belda;Agustín;Domínguez;-2;Male;-;-
Calle San Bartolomé de la Torre;San Bartolomé Torre;San;Bartolomé;-2;Male;-;-
Calle Miguel Ángel Asturias;Miguel Ángel Asturias;Miguel;Ángel;-2;Male;-;-
Plaza de Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;-;-
